시간,대화내용
1700707391059,"[하양피망] (11:43) ✈"
1700707393116,"[빨강보리] (11:43) ಠ_ಠ"
1700707397106,"[빨강사과] (11:43) (˵ •ᴗ• ˵)♡"
1700707400353,"[하양감자] (11:43) 오 귀여웡"
1700707402632,"[빨강보리] (11:43) (☞ﾟヮﾟ)☞"
1700707409386,"[빨강사과] (11:43) ٩(◕‿◕｡)۶"
1700707412731,"[하양감자] (11:43) o(*￣▽￣*)ブ"
1700707422223,"[빨강사과] (11:43) ʕっ•̀ ~•́ʔっ ▄︻字═━── ꔛ ‬❥ (*´♥ `*)"
1700707428645,"[하양감자] (11:43) WOW"
1700707435138,"[빨강보리] (11:43) ¯\_(ツ)_/¯"
1700707436321,"[하양피망] (11:43) (*/ω＼*)"
1700707456397,"[하양피망] (11:44) (❁´◡`❁)"
1700707608251,"[시스템] (11:46) 하양감자님께서 퇴장하셨습니다."
1700707610652,"[시스템] (11:46) 빨강보리님께서 퇴장하셨습니다."
1700707616279,"[시스템] (11:46) 하양감자님께서 입장하셨습니다."
1700707625660,"[시스템] (11:47) 하양감자님께서 퇴장하셨습니다."
1700707996760,"[시스템] (11:53) 빨강사과님께서 퇴장하셨습니다."
1700708002125,"[시스템] (11:53) 연두상추님께서 퇴장하셨습니다."
1700708044274,"[시스템] (11:54) 분홍참깨님께서 퇴장하셨습니다."
1700708284340,"[시스템] (11:58) 빨강보리님께서 입장하셨습니다."
1700708320815,"[관리자] (11:58) 안녕하세요"
1700708365651,"[빨강보리] (11:59) (✿◡‿◡)"
1700708371924,"[시스템] (11:59) 보라자두님께서 퇴장하셨습니다."
1700708462447,"[시스템] (12:01) 빨강보리님께서 퇴장하셨습니다."
1700708710718,"[시스템] (12:05) 연두상추님께서 입장하셨습니다."
1700708710799,"[시스템] (12:05) 연두상추님께서 퇴장하셨습니다."
1700708713172,"[시스템] (12:05) 연두상추님께서 입장하셨습니다."
1700708714861,"[연두상추] (12:05) asdad"
1700708715581,"[연두상추] (12:05) asdsd"
1700708716133,"[연두상추] (12:05) asda"
1700708716504,"[연두상추] (12:05) asd"
1700708716828,"[연두상추] (12:05) asd"
1700708717885,"[시스템] (12:05) 분홍참깨님께서 입장하셨습니다."
1700708735355,"[시스템] (12:05) 하양감자님께서 입장하셨습니다."
1700708755847,"[시스템] (12:05) 하양감자님께서 퇴장하셨습니다."
1700708775072,"[시스템] (12:06) 분홍참깨님께서 퇴장하셨습니다."
1700709241887,"[관리자] (12:14) 123"
1700709345025,"[시스템] (12:15) 연두상추님께서 퇴장하셨습니다."
1700709843409,"[시스템] (12:24) 연두상추님께서 퇴장하셨습니다."
1700710367180,"[시스템] (12:32) 초록당근님께서 퇴장하셨습니다."
1700710369788,"[시스템] (12:32) 초록당근님께서 입장하셨습니다."
1700710374452,"[시스템] (12:32) 초록당근님께서 퇴장하셨습니다."
1700710627993,"[하양피망] (12:37) (ﾉ◕ヮ◕)ﾉ*:･ﾟ✧(ﾉ◕ヮ◕)ﾉ*:･ﾟ✧(ﾉ◕ヮ◕)ﾉ*:･ﾟ✧"
1700710632848,"[시스템] (12:37) 하양피망님께서 퇴장하셨습니다."
